Flavonifractor
Flavonifractor plautii
Fluoribacter
Fonsecaea
Fonsecaea compacta
Fonsecaea pedrosoi
Francisella
Francisella tularensis
Fungi
Fusarium
Fusarium chlamydosporum
Fusarium culmorum
Fusarium graminearum
Fusarium oxysporum
Fusarium poae
Fusarium proliferatum
Fusarium semitectum
Fusarium solani
Fusarium sporotrichioides
Fusarium tricintum
Fusarium verticillioides
Fusobacterium
Fusobacterium canifelinum
Fusobacterium equinum
Fusobacterium gonidiaformans
Fusobacterium mortiferum
Fusobacterium naviforme
Fusobacterium necrogenes
Fusobacterium necrophorum
Fusobacterium nucleatum
Fusobacterium periodonticum
Fusobacterium russii
Fusobacterium ulcerans
Fusobacterium varium
Gallicola
Gallicola barnesae
Gamma (non)-hemolytic streptococcus
Gardnerella
Gardnerella vaginalis
Gemella
Gemella bergeri
Gemella haemolysans
Gemella morbillorum
Gemella sanguinis
Geobacillus
Geobacillus stearothermophilus
Geobacillus thermodenitrificans
Geotrichum
Geotrichum candidum
Geotrichum klebahnii
Giardia
Giardia lamblia
Gliocladium
Globicatella
Globicatella sanguinis
Globicatella sulfidifaciens
Gordonia
Gordonia bronchialis
Gordonia otitidis
Gordonia polyisoprenivorans
Gordonia rubripertincta
Gordonia sputi
Gordonia terrae
Gram-negative bacillus
"Gram-negative bacillus, fermentative"
"Gram-negative bacillus, non-fermentative"
Gram-negative coccobacillus
Gram-negative coccus
Gram-negative diplococcus
Gram-negative pleomorphic bacillus
Gram-positive bacillus
Gram-positive coccobacillus
Gram-positive coccus
Gram-positive diplococcus
Gram-variable bacillus
Gram-variable coccobacillus
Gram-variable coccus
Granulicatella
Granulicatella adiacens
Granulicatella elegans
Graphium
Grimontia
Grimontia hollisae
Haemophilus
Haemophilus aegyptius
Haemophilus ducreyi
Haemophilus haemoglobinophilus
Haemophilus haemolyticus
Haemophilus influenzae
Haemophilus parahaemolyticus
Haemophilus parainfluenzae
Haemophilus pittmaniae
Hafnia
Hafnia alvei
Halomonas
Halomonas venusta
Hartmannella
Hathewaya histolytica
Helcococcus
Helcococcus kunzii
Helcococcus sueciensis
Helicobacter
Helicobacter acinonychis
Helicobacter aurati
Helicobacter bilis
Helicobacter canadensis
Helicobacter canis
Helicobacter cholecystus
Helicobacter cinaedi
Helicobacter felis
Helicobacter fennelliae
Helicobacter ganmani
Helicobacter hepaticus
Helicobacter mesocricetorum
Helicobacter muridarum
Helicobacter mustelae
Helicobacter pametensis
Helicobacter pullorum
Helicobacter pylori
Helicobacter rappini
Helicobacter rodentium
Helicobacter salomonis
Helicobacter trogontum
Helicobacter typhlonius
Helminthosporium
Hepatitis A virus
Hepatitis B virus
Hepatitis C virus
Hepatitis D virus
Hepatitis E virus
Hepatitis G virus
Herbaspirillum
Herpesviridae
Heterophyes
Heterophyes heterophyes
Histoplasma
Histoplasma capsulatum
Histoplasma capsulatum var capsulatum
Histoplasma duboisii
Holdemania
Holdemania filiformis
Hormonema
Human adenovirus
Human coronavirus
Human coxsackievirus
Human coxsackievirus A
Human coxsackievirus B
Human cytomegalovirus 5
Human echovirus
Human herpes simplex virus
Human herpes simplex virus type 1
Human herpes simplex virus type 2
Human herpesvirus 3
Human herpesvirus 4
Human Herpesvirus 6
Human Herpesvirus 8
Human immunodeficiency virus type 2
Human immunodeficiency virus type I
Human metapneumovirus
Human papillomavirus
Human parainfluenza viruses
Human poliovirus
Human respiratory syncytial virus
Human rhinovirus
Human T-lymphotropic virus 1
Human T-lymphotropic virus 2
Hymenolepis
Ignavigranum
Ignavigranum ruoffiae
Influenza A virus
Influenza A virus subtype H1N1
Influenza B virus
Influenza C virus
Influenza virus
Inquilinus
Inquilinus limosus
Isospora
Janibacter
Janibacter hoylei
JC virus
Jonesia
Jonesia denitrificans
Kerstersia
Kerstersia gyiorum
Kingella
Kingella denitrificans
Kingella kingae
Kingella oralis
Kingella potus
Klebsiella
